aikido_issue_id,aikido_issue_group_id,type,status,severity,severity_score,original_cvss_severity_score,affected_package,affected_file,affected_domain,related_license,related_cve,rule,code_repo,code_repo_branch,cloud,cloud_resource,container,virtual_machine,first_detected_at,closed_at,ignored_at,ignored_by,ignore_reason,snooze_reason,start_line,end_line,time_to_fix_minutes,sla_date,cwe_description,installed_version,patched_version
132684806,18504021,open_source,open,critical,94,93,langchain-core,uv.lock,,,CVE-2025-68664,,Traigent,main,,,,,2025-12-24,,,,,,,,15,,"Unsafe deserialization can lead to remote code execution",1.2.0,1.2.5
132684825,18504021,open_source,open,critical,94,93,langchain-core,uv.lock,,,CVE-2025-68664,,TraigentBackend,main,,,,,2025-12-24,,,,,,,,15,,"Unsafe deserialization can lead to remote code execution",0.3.79,0.3.81
132684835,18504021,open_source,open,critical,94,93,langchain-core,requirements-docker.txt,,,CVE-2025-68664,,TraigentBackend,main,,,,,2025-12-24,,,,,,,,15,,"Unsafe deserialization can lead to remote code execution",0.3.74,0.3.81
132684847,18504021,open_source,open,critical,94,93,langchain-core,requirements.txt,,,CVE-2025-68664,,TraigentBackend,main,,,,,2025-12-24,,,,,,,,15,,"Unsafe deserialization can lead to remote code execution",0.3.74,0.3.81
132684856,18504021,open_source,open,critical,94,93,langchain-core,requirements/base.txt,,,CVE-2025-68664,,TraigentBackend,main,,,,,2025-12-24,,,,,,,,15,,"Unsafe deserialization can lead to remote code execution",0.3.74,0.3.81
132684869,18504021,open_source,open,critical,94,93,langchain-core,requirements/frozen.txt,,,CVE-2025-68664,,TraigentBackend,main,,,,,2025-12-24,,,,,,,,15,,"Unsafe deserialization can lead to remote code execution",0.3.80,0.3.81
132684878,18504021,open_source,open,critical,94,93,langchain-core,requirements/optional.txt,,,CVE-2025-68664,,TraigentBackend,main,,,,,2025-12-24,,,,,,,,15,,"Unsafe deserialization can lead to remote code execution",0.3.80,0.3.81
132684885,18504021,open_source,open,critical,94,93,langchain-core,requirements/test.txt,,,CVE-2025-68664,,TraigentBackend,main,,,,,2025-12-24,,,,,,,,15,,"Unsafe deserialization can lead to remote code execution",0.3.75,0.3.81
114035950,18504021,open_source,open,high,82,82,langchain-core,uv.lock,,,CVE-2025-65106,,TraigentBackend,main,,,,,2025-12-05,,,,,,,,15,,,0.3.79,0.3.80
114035957,18504021,open_source,open,high,82,82,langchain-core,requirements-docker.txt,,,CVE-2025-65106,,TraigentBackend,main,,,,,2025-12-05,,,,,,,,15,,,0.3.74,0.3.80
